ID,ORF
1008286_1,Rv2430c
1008288_1,Rv2432c
1008290_1,Rv2434c
1008292_1,Rv2436
1008306_1,Rv2450c
1008308_1,Rv2452c
1008310_1,Rv2454c
1008312_1,Rv2456c
1008314_1,Rv2458
1008316_1,Rv2460c
1008330_1,Rv2474c
1008332_1,Rv2476c
1008334_1,Rv2478c
1008336_1,Rv2480c
1008338_1,Rv2482c
1008340_1,Rv2484c
1008642_1,Rv2786c
1008644_1,Rv2788
1008646_1,Rv2790c
1008648_1,Rv2792c
1008650_1,Rv2794c
1008652_1,Rv2796c
1008666_1,Rv2810c
1008668_1,Rv2812
1008670_1,Rv2814c
1008672_1,Rv2816c
1008674_1,Rv2818c
1008676_1,Rv2820c
1008690_1,Rv2834c
1008692_1,Rv2836c
1008694_1,Rv2838c
1008696_1,Rv2840c
1008698_1,Rv2842c
1008700_1,Rv2844
1008714_1,Rv2858c
1008716_1,Rv2860c
1008718_1,Rv2862c
1008720_1,Rv2864c
1008722_1,Rv2866
1008724_1,Rv2868c
1009026_1,Rv3170
1009028_1,Rv3172c
1009030_1,Rv3174
1009032_1,Rv3176c
1009034_1,Rv3178
1009036_1,Rv3180c
1009050_1,Rv3194c
1009052_1,Rv3196
1009054_1,Rv3198c
1009056_1,Rv3200c
1009058_1,Rv3202c
1009060_1,Rv3204
1009074_1,Rv3218
1009076_1,Rv3220c
1009078_1,Rv3222c
1009080_1,Rv3224
1009082_1,Rv3226c
1009084_1,Rv3228
1009098_1,Rv3242c
1009100_1,Rv3244c
1009102_1,Rv3246c
1009104_1,Rv3248c
1009106_1,Rv3250c
1009108_1,Rv3252c
1009410_1,Rv3554
1009412_1,Rv3556c
1009414_1,Rv3558
1009416_1,Rv3560c
1009418_1,Rv3562
1009420_1,Rv3564
1009434_1,Rv3578
1009436_1,Rv3580c
1009438_1,Rv3582c
1009440_1,Rv3584
1009442_1,Rv3586
1009444_1,Rv3588c
1009458_1,Rv3602c
1009460_1,Rv3604c
1009462_1,Rv3606c
1009464_1,Rv3608c
1009466_1,Rv3610c
1009468_1,Rv3612c
1009482_1,Rv3626c
1009484_1,Rv3628
1009486_1,Rv3630
1009488_1,Rv3632
1009490_1,Rv3634c
1009492_1,Rv3636
1009794_1,
1009796_1,
1009798_1,
1009800_1,
1009802_1,
1009804_1,
1009818_1,
1009820_1,
1009822_1,
1009824_1,
1009826_1,
1009828_1,
1009842_1,
1009844_1,
1009846_1,
1009848_1,
1009850_1,
1009852_1,
1009866_1,Rv2741
1009868_1,
1009870_1,
1009872_1,
1009874_1,
1009876_1,
1005761_3,
1005763_3,
1005765_3,
1005767_3,
1005769_3,
1005771_3,
1005785_3,
1005787_3,
1005789_3,
1005791_3,
1005793_3,
1005795_3,
1005809_3,
1005811_3,
1005813_3,
1005815_3,
1005817_3,
1005819_3,
1005833_3,
1005835_3,
1005837_3,
1005839_3,
1005841_3,
1005843_3,
1006049_1,Rv0193c
1006051_1,Rv0195
1006053_1,Rv0197
1006055_1,Rv0199
1006057_1,Rv0201c
1006059_1,Rv0203
1006073_1,Rv0217c
1006075_1,Rv0219
1006077_1,Rv0221
1006079_1,Rv0223c
1006081_1,Rv0225
1006083_1,Rv0227c
1006097_1,Rv0241c
1006099_1,Rv0243
1006101_1,Rv0245
